Name,Start Date,Tickets Available,Currency Type,Lowest Ticket Price,Highest Ticket Price,Ticket Limit,Seatmap,Promoter,Venue,Venue URL,Please Note
Saints in the City,2/13/2025,2024-12-06T16:00:00Z,USD,10,10,There is an overall 8 ticket limit for this event.,,LIVE NATION - NO LN CONCERTS BRANDING,Blueberry Hill Duck Room,https://www.ticketmaster.com/blueberry-hill-duck-room-tickets-saint-louis/venue/50280,General admission event: All ages GA: Seating not guaranteed $2 minor surcharge at doors (under 21/cash only) All tickets carry fees. Tickets purchased with cash will be discounted to face value. There is a delivery delay in place 72 hours prior to event date.
 JPS Productions and 3Fifteen Primo Presents Mid-MO Rock Collective,2/13/2025,2025-01-17T16:00:00Z,USD,10,12,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0600622E8E4D0EBE/staticImage?type=png&systemId=HOST,FRANK PRODUCTIONS,Rose Music Hall,https://www.ticketmaster.com/rose-music-hall-tickets-columbia/venue/50714,"Doors open at 6:30pm. CASHLESS VENUE - Rose Music Hall services all credit and debit payments only. No cash accepted Advance tickets can be purchased online or at The Blue Note box office. Once the doors have opened, if tickets are still available, they can be purchased at Rose Music Hall."
Dancing with the Stars: Live! - 2025 Tour,2/13/2025,2024-10-11T15:00:00Z,USD,59.5,125,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/06006142D0485FE0/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Stephens Auditorium,https://www.ticketmaster.com/stephens-auditorium-tickets-ames/venue/49255,
Yachtly Groove with The Hall & Oates Project,2/13/2025,2024-12-21T16:00:00Z,USD,15,15,Please note: There is a ticket limit of 8 tickets per person and per credit card on this event.,https://mapsapi.tmol.io/maps/geometry/3/event/06006192EE626341/staticImage?type=png&systemId=HOST,MAMMOTH INC,Uptown Theater,https://www.ticketmaster.com/uptown-theater-tickets-kansas-city/venue/49686,
Drumline Live,2/13/2025,2024-07-19T15:00:00Z,USD,23.75,42.75,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/070060E1D23A2C72/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Fox Cities PAC,https://www.ticketmaster.com/fox-cities-pac-tickets-appleton/venue/57627,Doors open one hour prior to performance. All patrons require a ticket for entry. All bags & persons are subject to search.
Ella Langley: still hungover tour,2/13/2025,2024-10-22T15:00:00Z,USD,25,60,Please note: There is a ticket limit of 8 tickets per person and per credit card on this event.,https://mapsapi.tmol.io/maps/geometry/3/event/20006155B1BF1709/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,VBC Mars Music Hall,https://www.ticketmaster.com/vbc-mars-music-hall-tickets-huntsville/venue/263166,The VBC is a cashless venue.
Virginia Man w/ special guest Riggs Taylor - The Upstairs at Avondale,2/13/2025,2024-12-05T15:00:00Z,USD,12,12,,https://mapsapi.tmol.io/maps/geometry/3/event/20006184DF632D6A/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Avondale Brewing Co.,https://www.ticketmaster.com/avondale-brewing-co-tickets-birmingham/venue/263129,"You Should be Listening presents Virginia Man w/ special guest Riggs Taylor | February 13, 2025 | The Upstairs at Avondale"
NOCAP - BEFORE I DISAPPEAR AGAIN TOUR,2/13/2025,2024-11-01T15:00:00Z,USD,85,85,There is an 8 ticket limit per household.,https://mapsapi.tmol.io/maps/geometry/3/event/3A00615DE13A456A/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Bayou Music Center,https://www.ticketmaster.com/bayou-music-center-tickets-houston/venue/475416,Doors: 7PM Show: 8PM Age Limit: All Ages
Perpetual Groove w/ Dr Juice Leg,2/13/2025,2024-10-16T15:00:00Z,USD,22,22,,https://mapsapi.tmol.io/maps/geometry/3/event/3A00614E030C4FA6/staticImage?type=png&systemId=HOST,MISCELLANEOUS PROMOTER,Antone's Nightclub,https://www.ticketmaster.com/antones-nightclub-tickets-austin/venue/476138,"Please Note: SEATING Limited seating is available on a first-come, first-served basis. We recommend guests arrive early for the best chance of securing a table, chair, or barstool. Antone’s is ADA compliant and handicap accessible. PARKING Valet Parking is available 7 nights a week at The Westin Austin Downtown, located at 310 E 5th St. FOOD Antone’s proudly serves beer-steamed Cliffy Dog hotdogs and Antone’s Famous Po Boys in five classic varieties: Original, Turkey & Swiss, Premium Roast Beef, Tuna, and The Piggy. These iconic sandwiches, created by Clifford’s uncle Jalal in 1962, are available with Zapp’s New Orleans Kettle Style Potato Chips."
SLEAZE FREAKS: AN INDIE SLEAZE DANCE PARTY - 18+,2/13/2025,2025-01-09T16:00:00Z,USD,20,20,There is an overall eight (8) ticket limit on this event.,https://mapsapi.tmol.io/maps/geometry/3/event/2D0062279BDA2339/staticImage?type=png&systemId=HOST,FRANK PRODUCTIONS,Music Farm,https://www.ticketmaster.com/music-farm-tickets-charleston/venue/369334,"*THIS EVENT IS STRICTLY 18+* Doors at 8:30 pm | Show at 9:00 pm ACCESSIBILITY: The Music Farm is a general admission venue. If you have specific needs or questions, please email us at info@musicfarm.com or call 843-853-2252 and we would be happy to help. CASHLESS VENUE - The Music Farm services all credit and debit payments only. No cash accepted at the box office or bar. BAG POLICY: Bags (max size 12"" x 6"" x 12"") are allowed and will be searched upon entry. Exceptions will be made for necessary medical equipment and nursing mothers. We encourage you to pack light with only the necessities to make the entry process as soon as possible. We hope you enjoy the show!"
105.5 The Colorado Sound Presents: Benjamin Booker,2/13/2025,2024-10-18T16:00:00Z,USD,20,20,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1E00614F9CD81617/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Marquis,https://www.ticketmaster.com/marquis-tickets-denver/venue/246629,Doors 7PM Show 8PM This show is ALL AGES All acts subject to change without notice
Sorana,2/13/2025,2025-01-06T18:30:00Z,USD,24.55,24.55,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/00006226BD631DDE/staticImage?type=png&systemId=HOST,,Mercury Lounge,https://www.ticketmaster.com/mercury-lounge-tickets-new-york/venue/1101,State or Federal forms of ID will be required for entry.
Tyler Braden - Devil You Know Tour with Hayden Coffman,2/13/2025,2024-10-23T15:00:00Z,USD,15,65,,,,Joe's on Weed Street,https://www.ticketweb.com/venue/joes-on-weed-street-chicago-il/11879,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. Please note that the resale, attempted resale, or purchase of your ticket from any unauthorized reseller is grounds for seizure and cancellation of said ticket without compensation. The only valid tickets are those purchased and/or redeemed through our venue’s website. To the extent you have any inquiries or complaints, in such an event, please contact the Third Party Seller directly. Tickets purchased from any unofficial vendors are at your own risk and may be void upon entry"
Andrew Duhon's Living Room Sessions / ft. Anna Moss - Night 2,2/13/2025,2024-11-20T16:00:00Z,USD,24.91,24.91,,,,Chickie Wah Wah,https://www.ticketweb.com/venue/chickie-wah-wah-new-orleans-la/746974,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
FREE SHOW: BEN DE LA COUR returns to FITZGERALDS NIGHTCLUB!,2/13/2025,2025-01-10T16:00:00Z,USD,0,0,,,FITZGERALDS,FITZGERALDS NIGHTCLUB,https://www.ticketweb.com/venue/fitzgeralds-nightclub-berwyn-il/504015,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. Thank you for purchasing a ticket to FITZGERALDS! If you selected Will Call, you'll check in at the entrance when doors open for the show. Please have an ID ready. If the event is General Admission, there is no Reserved Seating. Under 21 ok if accompanied by parent or guardian. Tickets are NOT mailed to you unless you select delivery. All Tickets are Non-Refundable. All Tickets are Non-Transferrable. A NON-REFUNDABLE service charge will be added to the purchase price of each ticket - in the instance of a show cancellation, this fee will not be returned. Parking is available on the street with no permit restrictions or meters; DO NOT park in business or mini-mall lots or you will be towed. NO Filming or Audio Recording without written consent from the performing artist Outside food and/or drink is not allowed. Enjoy dinner at our restaurant BABYGOLD BARBECUE before the show or inside both The Club & Sidebar. Place a reservation here: https://resy.com/cities/brwy/babygold-barbecue - view the menu here: https://www.babygoldbbq.com/"
The Beast Street Band plays Bruce Springsteen,2/13/2025,2025-01-06T18:00:00Z,USD,19.27,44.2,,,LIVE NATION TENNESSEE,The Basement East,https://www.ticketweb.com/venue/the-basement-east-nashville-tn/417335,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund. ALL PATRONS MUST BRING A VALID FORM OF IDENTIFICATION. WE ONLY ACCEPT TICKETWEB TICKETS. BACKPACKS ARE NOT ALLOWED IN THE VENUE Most shows are standing room only. Choosing ticketFast ticket delivery will mean your tickets will be sent to your inbox within 48 hours of showtime, no earlier. Handicap accommodations can be arranged. ALL ALL AGES and 18+ SHOWS ARE NO RE-ENTRY"
Bryan Martin,2/13/2025,2025-01-13T19:15:00Z,USD,40,40,,,,The Vanguard,https://www.ticketweb.com/venue/the-vanguard-tulsa-ok/461875,
Backstage Pass,2/13/2025,2025-01-01T18:50:00Z,USD,10,10,,,,B Side Lounge,https://www.ticketweb.com/venue/b-side-lounge-cleveland-heights-oh/507115,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Lennox w/TBA,2/13/2025,2025-01-20T17:40:00Z,USD,30,160,,,,The 44 Sports Grill and Nightlife,https://www.ticketweb.com/venue/the-44-sports-grill-and-nightlife-glendale-az/551578,
"Looom, Surf Green Machine, Release Thy Poison, Burt Nachos: A Burt Nachos Tribute",2/13/2025,2025-01-22T19:40:00Z,USD,10,10,,,,Neurolux Lounge,https://www.ticketweb.com/venue/neurolux-lounge-boise-id/18976,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. All persons attending this event must be at least 21 years of age."
Kevn Kinney + Bobby Bare Jr,2/13/2025,2024-12-20T15:00:00Z,USD,20,20,,,,Shank Hall,https://www.ticketweb.com/venue/shank-hall-milwaukee-wi/235395,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
"Pentagram, Johnny Nasty Boots, Hannah Cutt, Cattlemass, Ghostframe, Edge of Insanity, Psalm",2/13/2025,2024-12-13T18:00:00Z,USD,43.7,775,,,,Whisky A Go Go,https://www.ticketweb.com/venue/whisky-a-go-go-west-hollywood-ca/209695,ALL SALES ARE FINAL!!
Parmalee - Fell In Love With A Cowgirl Tour,2/13/2025,2024-11-22T16:00:00Z,USD,17.5,59.5,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0700616EC7324EDA/staticImage?type=png&systemId=HOST,FRANK PRODUCTIONS,Majestic Theatre,https://www.ticketmaster.com/majestic-theatre-tickets-madison/venue/57705,"Doors open at 7pm. CASHLESS VENUE - The Majestic Theatre services all credit and debit payments only. No cash accepted. Advance tickets can be purchased online or at The Sylvee box office. Once the doors have opened, if tickets are still available, they can be purchased at the Majestic Theatre."
Latin Mafia,2/13/2025,2024-10-30T15:00:00Z,USD,89.5,89.5,There is a ticket limit of 8 for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/04006152D6703ABB/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Byline Bank Aragon Ballroom,https://www.ticketmaster.com/byline-bank-aragon-ballroom-tickets-chicago/venue/32771,"This is an ALL AGES event. Valid Photo ID is required for age restricted shows. Forms of valid ID are current and non-expired Driver's License, State ID or Passport. Byline Bank Aragon Ballroom is a standing room only venue, all tickets are General Admission unless otherwise stated. There is NO re-entry."
Destroy Lonely: FOREVER TOUR,2/13/2025,2024-11-01T15:00:00Z,USD,45,45,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/06006156E2B56242/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Pageant,https://www.ticketmaster.com/the-pageant-tickets-saint-louis/venue/49766,"General Admission Event. All Ages Allowed Please note: All tickets carry fees. Tickets purchased in person at The Pageant Box Office with cash will be discounted to face value. Mobile tickets will be available starting 72 hours prior to event time, Ticketmaster will email you a reminder about your tickets once they become available."
Rebecca Jade,2/13/2025,2024-12-15T04:08:00Z,USD,20,30,,https://mapsapi.tmol.io/maps/geometry/3/event/0A00618EFF1A3C79/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Humphreys Backstage Live,https://www.ticketmaster.com/humphreys-backstage-live-tickets-san-diego/venue/82453,There are reserved tables and SRO for this show. 21 & older.
Piano Man,2/13/2025,2025-01-05T20:00:00Z,USD,59.98,79.98,,https://mapsapi.tmol.io/maps/geometry/3/event/17006224515E72B4/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,V Theater at Planet Hollywood Inside the Miracle Mile Mall,https://www.ticketmaster.com/v-theater-at-planet-hollywood-inside-tickets-las-vegas/venue/189381,Parental Discretion Advised
FRANKIE MORENO: Celebrating the Biggest Fans,2/13/2025,2024-11-19T18:00:00Z,USD,32.11,32.11,,https://mapsapi.tmol.io/maps/geometry/3/event/17006151F0065DA4/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,South Point Showroom at South Point Hotel Casino and Spa,https://www.ticketmaster.com/south-point-showroom-at-south-point-tickets-las-vegas/venue/189411,
Paramount Theatre Club Seating: Adam Ray,2/13/2025,2025-01-22T17:00:00Z,USD,59.5,59.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1E006234DFC535C2/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Paramount Theatre,https://www.ticketmaster.com/paramount-theatre-tickets-denver/venue/245776,
FAUX REAL,2/13/2025,2024-12-13T17:00:00Z,USD,15,15,,,,Valley Bar,https://www.ticketweb.com/venue/valley-bar-phoenix-az/462065,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Barry Manilow,2/13/2025,2024-07-19T17:00:00Z,USD,57.99,399.99,There is an overall 10 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/170060ECA074170F/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Westgate Las Vegas Resort & Casino,https://www.ticketmaster.com/westgate-las-vegas-resort-casino-tickets-las-vegas/venue/188945,
Carsie Blanton @ 191 Toole,2/13/2025,2024-09-26T14:00:00Z,USD,25,25,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/19006133C056286C/staticImage?type=png&systemId=HOST,,191 Toole,https://www.ticketmaster.com/191-toole-tickets-tucson/venue/205172,"Doors 7PM | Show 8PM | GA Standing | An Evening With - No Opening Act | 21 & Over - ID REQUIRED | Public On Sale - 9/26 7AM ______ ALL SALES ARE FINAL. The Rialto Theatre does not grant refunds or exchanges for currently scheduled shows. The Rialto Theatre Foundation has a clear bag policy in place at Rialto Theatre and 191 Toole. The policy limits the size and type of bags that may be brought into our venues. The following is a list of bags that will be accepted for entry: Bags that are clear plastic or vinyl and do not exceed 12in x 6in x 12in One-gallon clear plastic freezer bags (Ziploc bag or similar) Small clutch bags, approximately 5in x 7in All bags subject to search. Clear bags are available for sale at the box office."
Jefferson Starship,2/13/2025,2024-12-13T19:00:00Z,USD,25,75,There is an overall 6 ticket limit per person for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/19006185CD3B2AA9/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Gila River Resorts & Casinos - Wild Horse Pass,https://www.ticketmaster.com/gila-river-resorts-casinos-wild-horse-tickets-chandler/venue/204898,"Jefferson Starship Thursday, February 13, 2025 The Showroom @ Wild Horse Pass Resort & Casino Show: 8PM Ticket Prices P1 $75, P2 $55, P3 $45, P4 $35, P5 $25 Soundcheck Experience: $225, includes soundcheck, autographed poster, merch, laminate. Merch Pkg: $130 includes autographed poster and merch NO REFUNDS $10 off for GRIC members (enrollment card required) and GRGE team members. Gila River Casinos Players Club card members receive the following discounts based on tier level, Emerald $5, Ruby $10, Gold $15, Platinum $20. All discounts are per tickets, 4 tickets maximum per Players Club member. Tickets are at retail pricing when purchased online or by phone. Discounts are available at the Box Office only. Additional taxes and fees may be added at checkout. Prices subject to change. All sales are final. No refunds or exchanges. There is an overall 6 ticket limit per person for this event."
"Gavin Adcock - Actin' Up Again, Again Tour 2024",2/13/2025,2024-08-23T17:00:00Z,USD,27,50,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1900610FBD275B71/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Van Buren,https://www.ticketmaster.com/the-van-buren-tickets-phoenix/venue/205185,
The Australian Bee Gees (Vegas),2/13/2025,2024-09-13T17:00:00Z,USD,50.76,81.76,There is an overall 12 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/2E006121DD627A53/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Thunderland Showroom at Excalibur,https://www.ticketmaster.com/thunderland-showroom-at-excalibur-tickets-las-vegas/venue/376949,Children under the age of 5 years are not permitted into the theater. Guests under the age of 18 years must be accompanied by an adult.
Waterboyz presents Chris Travis live! WaterWorld 2 tour,2/13/2025,2024-10-24T17:00:00Z,USD,37,37,"Please note, there is an 8 ticket limit on this event.",https://mapsapi.tmol.io/maps/geometry/3/event/1C006150D6AA5292/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Ace of Spades,https://www.ticketmaster.com/ace-of-spades-tickets-sacramento/venue/229953,"Based on the latest local guidelines, attendees are no longer required to provide proof of negative COVID-19 test AND/OR vaccination for entry into this event. However, the California Department of Health strongly recommends that all attendees are fully vaccinated or obtain a negative COVID-19 test prior to attending the event. Be sure to check your venue website for the latest updates and guidelines as entry requirements are subject to change."
"Jueves Pa"" Gozar en La Rumba",2/13/2025,2025-02-04T17:30:00Z,USD,8.73,8.73,,,,La Rumba,https://www.ticketweb.com/venue/la-rumba-denver-co/496325,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Julia²,2/13/2025,2025-02-03T21:55:00Z,USD,0,0,,,,Night Club 101,https://www.ticketweb.com/venue/night-club-101-new-york-ny/686683,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Ronnie and the Redwoods,2/13/2025,2024-12-20T17:00:00Z,USD,13.36,13.36,,,,Vultures,https://www.ticketweb.com/venue/vultures-colorado-springs-co/503285,
Babe Corner / Sports Boyfriend / Josephine,2/13/2025,2025-01-02T16:00:00Z,USD,15,15,,,,Empty Bottle,https://www.ticketweb.com/venue/empty-bottle-chicago-il/10103,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. Make sure to bring a valid ID"
Raised Rowdy Presents: Cole Barnhill w/ Brayden Stewart,2/13/2025,2025-01-03T20:00:00Z,USD,15.68,15.68,,,,The Basement,https://www.ticketweb.com/venue/the-basement-nashville-tn/25075,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. ALL PATRONS MUST BRING A VALID FORM OF IDENTIFICATION WE ONLY ACCEPT TICKETWEB TICKETS BACKPACKS are not allowed inside the venue Most shows are standing room only Handicap accommodations can be arranged ALL ALL AGES and 18+ SHOWS ARE NO RE-ENTRY"
Cursive,2/13/2025,2025-01-28T18:00:00Z,USD,23.18,23.18,,,,Temblor Brewing Company,https://www.ticketweb.com/venue/temblor-brewing-company-bakersfield-ca/423235,
Pachanka Music Presents: CALAVERAS LD in the SIDEBAR,2/13/2025,2025-01-24T18:00:00Z,USD,0,0,,,,FITZGERALDS SIDEBAR,https://www.ticketweb.com/venue/fitzgeralds-sidebar-berwyn-il/504035,"Thank you for purchasing a ticket to FITZGERALDS! If you selected Will Call, you'll check in at the entrance when doors open for the show. Please have an ID ready. If the event is General Admission, there is no Reserved Seating. Under 21 ok if accompanied by parent or guardian. Tickets are NOT mailed to you unless you select delivery. All Tickets are Non-Refundable. All Tickets are Non-Transferrable. A NON-REFUNDABLE service charge will be added to the purchase price of each ticket - in the instance of a show cancellation, this fee will not be returned. Parking is available on the street with no permit restrictions or meters; DO NOT park in business or mini-mall lots or you will be towed. NO Filming or Audio Recording without written consent from the performing artist Outside food and/or drink is not allowed. Enjoy dinner at our restaurant BABYGOLD BARBECUE before the show or inside both The Club & Sidebar. Place a reservation here: https://resy.com/cities/brwy/babygold-barbecue - view the menu here: https://www.babygoldbbq.com/"
Honky Tonk Thursdays After Party with The Resonant Rogues,2/13/2025,2024-12-15T19:00:00Z,USD,0,0,,,,The Southgate House Revival - The Lounge,https://www.ticketweb.com/venue/the-southgate-house-revival--the-lounge-newport-ky/450755,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Andreu Karnigie,2/13/2025,2025-01-18T21:50:00Z,USD,20,100,,,,Dew Drop Inn Hotel & Lounge,https://www.ticketweb.com/venue/dew-drop-inn-hotel--lounge-new-orleans-la/653683,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"In The Round with Tommy Karlas, Wynn Varble & Rivers Rutherford",2/13/2025,2025-02-06T14:00:00Z,USD,27.53,27.53,,,,The Bluebird Cafe,https://www.ticketweb.com/venue/the-bluebird-cafe-nashville-tn/503035,"***Please note, when you make a reservation at The Bluebird Cafe, you are agreeing to the following terms & conditions: • All ticket reservations are non-refundable. • Ticket reservations at The Bluebird Cafe are an agreement to pay the non-refundable cover charge and applicable taxes/fees and to meet the $12.00 per seat food and/or drink minimum. • If you are a “no show”, we reserve the right to charge your credit card for the $12.00 minimum for each seat in your reservation. • Ticket reservations are for your personal use. They are NOT transferrable and NOT for resale! We perform random I.D. checks and the name on the reservation must match the name on the I.D. • Please call (615-383-1461) or email (info@bluebirdcafe.com) to cancel your reservation AT LEAST 24 hours in advance. PLEASE NOTE if your reservations are for a Saturday or Sunday evening show, you need to cancel by 9:00 a.m. the Friday before or risk being charged. • Attendees are expected to show up by the start of the show for which they have tickets. Seats that are unclaimed once the show has started will be seated from the walk-up line. • Performers are subject to change. • Bar seats are only for customers 21 years of age or older. • Any guest under the age of 18 must be seated with a parent or guardian. • We require accessible seat requests to be made two weeks in advance of the show date for guaranteed accessible seats. If you made a reservation outside of that window using our online system, please call The Bluebird Cafe during office hours and we will do our best to accommodate your needs. Please know that if you reserved outside of the two week window, accessible seats are not guaranteed. • The Bluebird Cafe is a listening room. If you do not honor our SHHHH! policy (being quiet while the performers are on stage) you may be asked to leave. • No outside food and/or drink is allowed inside the venue. • Still photography is allowed, unless the artist requests otherwise. • RECORDING COPYRIGHTED MATERIAL (VIDEO OR AUDIO) IS PROHIBITED. • Parking is limited. We suggest for ticket holders to use rideshare apps such as Uber or Lyft for your visit, if possible. For those wanting to park, we have a small lot directly in front of the cafe and a larger gravel lot behind the cafe. To access our gravel lot, please use the alley entrance on Hillsboro Pike next to AT&T. Please do not utilize our neighbors’ parking lots, as they enforce towing and do NOT park at AT&T. All guests must enter and check in through our main entrance on Hillsboro Pike. • For the safety and comfort of all our guests, Bluebird Cafe management has the right to refuse service to anyone who is aggressive, hostile or appears to be intoxicated."
Cooper Alan,2/13/2025,2024-10-31T15:00:00Z,USD,25,25,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0900615D8DD21371/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,House of Blues Anaheim,https://www.ticketmaster.com/house-of-blues-anaheim-tickets-anaheim/venue/74096,Upgrade Your Experience: https://sevenrooms.com/events/hobanaheim/hobwebsite
blink-182,2/13/2025,2025-01-27T23:00:00Z,USD,182,375,There is a 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0900623AD9F42953/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Hollywood Palladium,https://www.ticketmaster.com/hollywood-palladium-tickets-hollywood/venue/73794,"blink-182 wants to give fans, not scalpers, the best chance to buy tickets at face value. To make this possible they have chosen to use Ticketmaster's Face Value Exchange. If fans purchase tickets for a show and can't attend, they'll have the option to resell them to other fans on Ticketmaster at the original price paid. To ensure Face Value Exchange works as intended, blink-182 has requested all tickets be mobile only and restricted from transfer. All Ages Welcome Doors: 7PM Show: 8PM *All times are subject to change"
Glokk40spaz - The Vamp Life Tour (Moved From Regent),2/13/2025,2025-01-14T01:02:00Z,USD,30,35,There is an 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0900622DD3901B95/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Belasco,https://www.ticketmaster.com/the-belasco-tickets-los-angeles/venue/74614,"THIS IS AN ALL AGES EVENT The Belasco is a STANDING ROOM ONLY venue. We have a dedicated area for guests in wheelchairs and their companions, which is available on a first-come, first-served basis. Please contact us at THEBELASCO@LIVENATION.COM or (213) 531-0580 for questions regarding accessibility at the venue and to request accommodation. TIMES AND SUPPORT ACTS SUBJECT TO CHANGE WITHOUT NOTICE PRE-SHOW VIP LOUNGE DOORS: 6PM DOORS: 7PM SHOW: 8PM"
Apres Ski Party With Costa,2/13/2025,2025-02-05T16:00:00Z,USD,10,10,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/010062458F6F5090/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Grand (Boston),https://www.ticketmaster.com/the-grand-boston-tickets-boston/venue/9387,"This is a 21+ Event with valid form of identification. For US citizens, a valid DMV-issued photo ID or USA passport is required. For international guests, a valid passport is required. Doors 10pm No Athletic Gear ie: jerseys, sweatpants, hoodies, track suits, shorts, baseball hats (must be checked in at coat check), etc. No Bandanas, biker vests, plain white t-shirts or tank tops Men must wear closed toed shoes. Also no work boots will be admitted unless approved by management Men must wear pants, no shorts, or cutoffs will be permitted No tank tops or sleeveless shirts for men All button-up shirts must be buttoned up No hoods can be worn on the head while on the premises Clothing with vulgar, lewd or inappropriate language/logs will not be allowed Management will make all final decisions, not the door staff. All patrons will be allowed to speak to a Manager if requested regarding attire."
Lil Mosey,2/13/2025,2024-11-22T18:00:00Z,USD,25,40,There is an 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/09006174D80135C8/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Observatory,https://www.ticketmaster.com/the-observatory-tickets-santa-ana/venue/73867,Doors 7pm Show 8pm All Ages
The Happy Return & The Grinns,2/13/2025,2024-12-06T18:00:00Z,USD,17,17,There is an 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/09006185D1623CE6/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Echo,https://www.ticketmaster.com/the-echo-tickets-los-angeles/venue/74716,Doors: 7PM | Show: 8PM | All Ages | *All times and supporting acts may be subject to change at any time without notice* |
Antwane Tyler ,2/13/2025,2025-01-09T23:30:00Z,USD,20,40,,https://mapsapi.tmol.io/maps/geometry/3/event/0F006229D9512141/staticImage?type=png&systemId=HOST,,APEX Everett,https://www.ticketmaster.com/apex-everett-tickets-everett/venue/124055,"All ages event. Doors open at 6, South Fork Country Kickers will lead dancing at 7, followed by a performance from Antwane Tyler. 1611 Everett Ave, Everett 98201."
